row ID;Label;Standard reports;Vacancy Management;Candidate Sourcing;Candidate Assessment;Selection Management;Offer to Hire Processing;Onboarding;Internal mobility
Row41;beehire.com;1;1;1;1;1;1;0;0
Row42;benefinderhcm.com;1;1;1;1;1;1;0;0
Row43;berkeassessment.com;0;0;0;1;0;0;0;0
Row44;betterteam.com;0;1;1;0;0;0;0;0
Row45;bizneo.com;1;1;1;1;1;1;0;0
Row46;bizrun.com;1;1;1;1;1;1;1;0
Row47;breezy.hr;1;1;1;1;1;1;0;0
Row48;brightmove.com;1;1;1;0;1;1;0;0
Row49;buk.cl;1;1;1;1;1;1;0;0
Row50;cammio.com;0;0;0;1;0;0;0;0
Row51;candidatemanager.net;1;1;1;1;1;1;0;0
Row52;career.place;0;0;0;1;0;0;0;0
Row53;careerharmony.com;1;1;1;1;1;1;0;0
Row54;careerlisterapp.com;1;1;1;1;1;1;0;0
Row55;careerplug.com;1;1;1;1;1;1;0;0
Row56;cavall.io;1;1;1;1;1;1;1;0
Row57;ceipal.com;1;1;1;1;1;1;1;0
Row58;ceridian.com;1;1;1;1;1;1;1;0
Row59;clearcompany.com;1;1;1;0;1;1;1;0
Row60;cleverstaff.net;1;1;1;1;1;1;0;0
Row61;cluen.com;1;1;1;1;1;1;0;0
Row62;cmshris.com;1;1;1;1;1;1;0;0
Row63;coderbyte.com;0;0;0;1;0;0;0;0
Row64;codility.com;0;0;1;1;0;0;0;0
Row65;comeet.co;1;1;1;1;1;0;0;0
Row66;company.cvwarehouse.com;1;1;1;1;1;1;0;0
Row67;conveyiq.com;0;0;1;0;0;0;0;0
Row68;coolersoft.com;1;1;1;1;1;1;0;0
Row69;cornerstoneondemand.com;1;1;1;0;1;1;1;0
Row70;criteriacorp.com;0;0;0;1;0;0;0;0
Row71;cvviz.com;0;1;1;1;1;1;0;0
Row72;datacruit.com;1;1;1;1;1;0;0;0
Row73;daxtra.com;1;0;1;1;0;0;0;1
Row74;deletrain.com;0;0;0;0;0;0;1;0
Row75;digitalhire.com;0;0;0;1;0;0;0;0
Row76;easyhire.me;0;0;1;1;0;0;0;0
Row77;eddyhr.com;1;1;1;1;1;1;0;0
Row78;eggup.co;0;0;0;1;0;0;0;0
Row79;eightfold.ai;1;0;1;1;0;0;0;1
Row80;elementapp.ai;1;1;1;1;1;0;0;0
Row81;elmotalent.com.au;1;1;1;1;1;1;1;0
Row82;emissary.ai;0;0;1;0;0;0;0;0
Row83;employastar.com;1;1;1;1;1;1;0;0
Row84;employinsight.com;0;0;0;1;0;0;0;0
Row85;emply.com;1;1;1;1;1;1;0;0
Row86;emptrust.com;0;0;0;0;0;0;1;0
Row87;enlist.io;1;1;1;1;1;1;0;0
Row88;enlizt.com;1;1;1;1;1;0;0;0
Row89;eploy.co.uk;1;1;1;1;1;1;0;0
Row90;erecruiter.pl;1;1;1;1;1;1;0;0
Row91;eskill.com;0;0;0;1;0;0;0;0
Row92;evie.ai;0;0;1;0;0;0;0;0
Row93;exacthire.com;1;1;1;1;1;1;1;0
Row94;exelare.com;1;1;1;1;1;0;0;0
Row95;exelero.com;1;1;1;1;1;1;1;0
Row96;expertite.com;1;1;1;1;1;0;0;0
Row97;factorialhr.com;1;1;1;1;1;1;1;0
Row98;fetcher.ai;1;1;1;0;0;0;0;0
Row99;firefishsoftware.com;1;0;1;0;0;0;0;0
Row100;flatchr.io;1;1;1;1;1;0;0;0
Row101;fountain.com;1;1;1;1;1;1;0;0
Row102;freshteam.com;1;1;1;1;1;1;0;0
Row103;furstperson.com;0;0;0;1;0;0;0;0
Row104;genius.online;1;1;1;1;1;1;0;0
Row105;gethired.com;1;1;1;1;1;0;0;0
Row106;gethrs.com;1;1;1;1;1;1;1;0
Row107;geticv.com;0;0;1;1;0;0;0;0
Row108;go4recruitingsoftware.com;1;1;1;0;0;0;0;0
Row109;goarya.com;0;0;1;0;0;0;0;0
Row110;gohire.com;0;0;1;0;0;0;0;0
Row111;gohire.io;1;1;1;1;1;1;0;0
Row112;goodtalent.io;0;0;0;1;0;0;0;0
Row113;goodtime.io;0;0;0;0;1;0;0;0
Row114;gr8people.com;1;1;1;1;1;1;1;0
Row115;graylink.biz;1;1;1;1;1;1;0;0
Row116;graypeakworkforce.com;1;1;1;1;1;1;0;0
Row117;grayscaleapp.com;0;0;1;0;0;0;0;0
Row118;greenhouse.io;1;1;1;1;1;1;1;0
Row119;happymonday.com;1;1;1;1;1;0;0;0
Row120;harbour-ats.com;1;1;1;1;1;1;0;0
Row121;harver.com;1;1;1;1;1;1;0;0
Row122;headstart.io;1;1;1;1;1;0;0;0
Row123;headway.ai;1;0;1;1;1;1;1;0
Row124;hellotalent.com;1;1;1;1;1;0;0;0
Row125;herefish.com;1;1;1;0;0;0;0;0
Row126;hibob.com;0;0;0;0;0;0;1;0
Row127;hireability.com;0;0;1;1;0;0;0;0
Row128;hirebee.ai;1;1;1;1;1;1;0;0
Row129;hirebridge.com;1;1;1;1;1;1;0;0
Row130;hiredscore.com;1;1;1;1;1;1;0;0
Row131;hireful.co.uk;1;1;1;1;1;0;0;0
Row132;hiregroundsoftware.com;1;1;1;1;1;1;0;0
Row133;hirelist.com;1;1;1;1;1;0;0;0
Row134;hiremojo.com;1;1;1;1;1;1;0;0
Row135;hireology.com;1;1;1;1;1;1;1;0
Row136;hireonboard.com;1;1;1;1;1;1;0;0
Row137;hireserve.com;1;1;1;1;1;1;0;0
Row138;hirestorm.com;1;1;1;1;1;1;0;0
Row139;hiretual.com;1;0;1;0;0;0;0;0
Row140;hirevue.com;1;0;0;1;0;0;0;0
Row141;hirewho.co;1;1;1;1;1;1;0;0
Row142;hiring.careerbuilder.com;1;1;1;1;1;1;0;0
Row143;hiringsolved.com;0;0;1;1;0;0;0;0
Row144;hiringthing.com;1;1;1;1;1;1;0;0
Row145;homerun.co;1;1;1;1;1;1;1;0
Row146;hr-manager.net;1;1;1;1;1;1;1;0
Row147;hrboss.com;1;1;1;1;1;0;0;0
Row148;hrmc.com;1;1;1;1;1;1;0;0
Row149;hrpuls.de;1;1;1;1;1;1;0;0
Row150;hubert.ai;0;0;1;1;0;0;0;0
Row151;huntool.in;1;1;1;1;1;0;0;0
Row152;icims.co.uk;1;1;1;1;1;1;1;0
Row153;icims.com;1;1;1;1;1;1;1;0
Row154;iclickats.com;1;1;1;1;0;0;0;0
Row155;ideal.com;1;0;1;1;1;0;0;0
Row156;igloohr.com;1;1;1;1;1;1;0;0
Row157;in-recruiting.com;1;1;1;1;1;1;0;0
Row158;inasoft.fr;1;1;1;1;1;1;0;0
Row159;indivizo.com;1;0;1;1;1;0;0;0
Row160;interviewopps.com;0;0;0;1;0;0;0;0
Row161;interviewschedule.com;0;0;1;0;0;0;0;0
Row162;interviewstream.com;0;0;0;1;1;0;0;0
Row163;intuition-software.com;1;1;1;1;1;1;0;0
Row164;inwork.io;1;1;1;1;1;1;0;0
Row165;ismartsocial.com;0;0;1;0;0;0;0;0
Row166;jazzhr.com;1;1;1;1;1;1;0;0
Row167;jobadder.com;1;1;1;1;1;1;0;0
Row168;jobconvo.com;1;1;1;1;1;0;0;0
Row169;jobdiva.com;1;1;1;1;1;1;0;0
Row170;jobma.com;0;0;0;1;0;0;0;0
Row171;jobscience.com;1;1;1;1;1;1;1;0
Row172;jobscore.com;1;1;1;1;1;1;1;0
Row173;jobsmedia.ca;1;1;1;1;1;1;0;0
Row174;jobsoid.com;1;1;1;1;1;1;0;0
Row175;jobtoolz.com;1;1;1;1;1;1;0;0
Row176;jobtrain.co.uk;1;1;1;1;1;1;0;0
Row177;jobufo.com;1;1;1;1;1;1;0;0
Row178;jobvite.com;1;1;1;1;1;1;0;0
Row179;jobylon.com;1;1;1;1;1;0;0;0
Row180;joineight.com;0;0;1;1;0;0;0;0
Row181;kallidus.com;1;1;1;1;1;1;1;0
Row182;keldairhr.com;1;1;1;1;1;1;1;0
Row183;keyclouding.cl;1;1;1;1;1;1;0;0
Row184;kioskemploi.fr;1;1;1;1;1;1;0;0
Row185;kwantek.com;1;1;1;1;1;1;1;0
Row186;launchpadrecruits.com;1;1;0;1;1;1;0;0
Row187;leoforce.com;0;0;1;0;0;0;0;0
Row188;lever.co;1;1;1;1;1;1;0;0
Row189;lightapply.com;0;0;0;1;1;0;0;0
Row190;live-interview.com;0;0;0;1;0;0;0;0
Row191;livehire.com;1;1;1;1;1;1;1;1
Row192;livevideointerviews.com;0;0;0;1;0;0;0;0
Row193;localjobnetwork.com;1;0;1;0;1;0;1;0
Row194;localwork.io;0;0;1;1;0;0;0;0
Row195;logicmelon.com;1;1;1;1;1;0;0;0
Row196;loxo.co;1;1;1;1;1;1;0;0
Row197;manatal.com;1;0;1;1;1;1;0;0
Row198;maxohire.com;1;1;1;1;1;1;0;0
Row199;mettl.com;0;0;0;1;0;0;0;0
Row200;microdec-profile.com;1;1;1;1;1;0;0;0
Row201;mightyrecruiter.com;1;1;1;1;1;1;0;0
Row202;milimatch.com;0;0;0;1;0;0;0;0
Row203;mindmatcher.org;0;0;1;1;0;0;0;1
Row204;modernhire.com;1;0;0;1;0;1;0;0
Row205;montagetalent.com;1;1;1;1;1;1;0;0
Row206;mosaictrack.com;0;0;1;1;0;0;0;0
Row207;mya.com;0;0;1;1;1;0;1;0
Row208;myinterview.com;0;0;0;1;0;0;0;0
Row209;myrecruitmentplus.com;1;1;1;1;1;1;1;0
Row210;mystaffingpro.com;1;1;1;1;1;1;0;0
Row211;naukrirms.com;1;1;1;1;1;1;1;0
Row212;nethire.com;1;1;1;1;1;1;0;0
Row213;nextal.com;1;1;1;1;1;1;0;0
Row214;njoyn.com;1;1;1;1;1;1;0;0
Row215;norteksolutions.ca;1;1;1;1;1;1;0;0
Row216;occupop.com;1;1;1;1;1;1;0;0
Row217;officekithr.com;1;1;1;1;1;1;0;0
Row218;officetroops.com;1;1;1;1;1;0;0;0
Row219;oleeo.com;1;1;1;1;1;1;0;0
Row220;onapply.de;0;0;1;1;1;0;0;0
Row221;onehcm.com;1;1;1;1;1;1;0;0
Row222;onerecruit.com;1;1;1;1;1;1;0;0
Row223;oorwin.com;1;1;1;1;0;0;0;0
Row224;optimizehire.com;0;0;0;1;0;0;0;0
Row225;otys.com;1;1;1;1;1;1;0;0
Row226;outmatch.com;0;0;0;1;0;0;0;0
Row227;pageuppeople.com;1;1;1;1;1;1;1;0
Row228;pageuppeople.us;1;1;1;1;1;1;1;0
Row229;pandologic.com;0;0;1;0;0;0;0;0
Row230;paradox.ai;0;0;1;1;1;0;0;0
Row231;param.ai;1;1;1;1;1;1;0;0
Row232;payprocorp.com;1;1;0;1;1;1;0;0
Row233;pcrecruiter.net;1;1;1;0;1;1;0;0
Row234;peoplecapital.com;1;1;1;1;1;1;0;0
Row235;peoplefluent.com;1;1;1;1;1;1;1;1
Row236;peopleguru.com;1;1;1;1;1;1;0;0
Row237;peoplehr.com;1;1;1;1;1;1;1;0
Row238;peoplescout.com;0;0;1;1;0;0;0;0
Row239;peoplestrong.com;1;1;1;1;1;1;0;0
Row240;pereless.com;1;1;1;1;1;1;0;0
Row241;performahrm.com;1;1;1;1;1;1;0;0
Row242;phenom.com;0;0;1;1;0;0;0;0
Row243;phoenixats.com;1;1;1;1;1;1;1;0
Row244;pinpointhq.com;1;1;1;1;1;1;1;0
Row245;platinasoft.com;1;1;1;1;1;1;0;0
Row246;precedenthr.com;1;1;1;1;1;1;0;0
Row247;preemploymentassessments.com;0;0;0;1;0;0;0;0
Row248;prescreen.io;1;1;1;1;1;1;0;0
Row249;prevuehr.com;1;0;0;1;1;0;0;0
Row250;prim-software.com;1;1;1;1;1;1;1;0
Row251;pymetrics.ai;0;0;0;1;0;0;0;0
Row252;qjumpers.co.nz;1;1;1;1;1;1;1;0
Row253;qpage.one;1;1;1;1;1;1;1;0
Row254;quanthub.com;0;0;0;1;0;0;0;0
Row255;recooty.com;1;1;1;0;1;1;1;0
Row256;recright.com;0;0;0;1;0;0;0;0
Row257;recruhr.com;1;1;1;1;1;1;0;0
Row258;recruitbpm.com;1;1;1;1;1;1;0;0
Row259;recruitee.com;0;1;0;0;0;0;0;0
Row260;recruiterbox.com;1;1;1;0;1;1;0;0
Row261;recruiterflow.com;1;1;1;1;1;1;0;0
Row262;recruiterpal.com;1;1;1;1;1;1;0;0
Row263;recruiteze.com;0;1;1;1;1;0;0;0
Row264;recruitify.ai;1;1;1;1;1;1;1;0
Row265;recruiting.com;0;0;1;0;0;0;0;0
Row266;recruitive.com;1;1;1;1;1;1;0;0
Row267;recruitmentboost.com;1;1;1;1;1;1;0;0
Row268;recruitmentsmart.com;0;0;0;1;0;0;0;0
Row269;recruitright.tech;1;1;1;1;1;0;0;0
Row270;recruiz.com;1;1;1;1;1;1;0;0
Row271;rekroot.com;0;0;0;1;0;0;0;0
Row272;relation-rh.com;1;1;1;1;1;1;0;0
Row273;resourceassociates.com;0;0;0;1;0;0;0;0
Row274;retorio.com;0;0;0;1;0;0;0;0
Row275;riminder.net;0;0;0;1;1;0;0;0
Row276;rippling.com;1;1;1;1;1;1;0;0
Row277;rolepoint.io;0;0;1;1;0;0;0;0
Row278;saba.com;1;1;1;1;1;1;0;0
Row279;scope-recruiting.de;1;1;1;1;1;1;0;0
Row280;scoptalent.com;1;1;1;1;1;0;0;0
Row281;seekout.io;0;0;1;0;0;0;0;0
Row282;shineinterview.com;0;0;0;1;0;0;0;0
Row283;shortlister.com;0;0;1;1;0;0;0;0
Row284;shortlyster.com;0;0;1;1;0;0;0;0
Row285;silkroad.com;1;1;1;1;1;1;1;0
Row286;simplicant.com;1;1;1;1;1;1;1;0
Row287;simplify.hr;1;1;1;1;1;1;0;0
Row288;simppler.com;0;0;1;0;0;0;0;0
Row289;skeeled.com;0;0;0;1;0;0;0;0
Row290;skillrobo.com;0;0;0;1;0;0;0;0
Row291;skillsurvey.com;1;1;1;1;0;0;0;0
Row292;smartcv.co;1;1;1;1;1;0;0;0
Row293;smartdreamers.com;0;0;1;0;0;0;0;0
Row294;smartrecruiters.com;1;1;1;1;1;1;0;0
Row295;smoothhiring.com;1;1;1;1;1;1;0;0
Row296;socialhire.io;1;1;1;1;1;1;0;0
Row297;softfactors.com;1;1;1;1;1;1;0;0
Row298;softgarden.io;1;1;1;1;1;1;0;0
Row299;sonru.com;0;0;0;1;0;0;0;0
Row300;sparkhire.com;1;0;0;1;0;0;0;0
Row301;squarecruit.com;1;1;1;1;1;0;0;0
Row302;staffcv.com;1;1;1;1;1;0;0;0
Row303;staffingsoft.com;1;1;1;1;1;1;0;0
Row304;stellares.ai;0;1;1;0;0;0;0;0
Row305;swarmhr.com;1;1;1;1;1;1;0;0
Row306;symphonytalent.com;0;0;1;0;0;0;0;0
Row307;taledo.com;1;1;1;1;1;1;0;0
Row308;talemetry.com;1;1;1;1;1;1;1;1
Row309;talent-funnel.com;1;1;1;1;1;1;0;0
Row310;talentbrand.com.br;1;1;1;1;1;1;0;0
Row311;talentchaser.com;0;0;0;1;0;0;0;0
Row312;talentcube.de;0;0;0;1;0;0;0;0
Row313;talentech.com;1;1;1;1;1;1;1;0
Row314;talentera.com;1;1;1;1;1;0;0;0
Row315;talentharness.com;1;1;1;1;1;0;0;0
Row316;talentifyhr.com;0;0;1;0;0;0;0;0
Row317;talention.com;1;1;1;0;1;1;0;0
Row318;talention.de;1;1;1;1;1;1;1;0
Row319;talentlane.io;1;1;1;1;1;0;0;0
Row320;talentlyft.com;1;1;1;1;1;1;0;0
Row321;talentnest.com;1;1;1;1;1;1;0;0
Row322;talentpoolbuilder.com;1;1;1;1;1;1;0;0
Row323;talentrecruit.in;1;1;1;1;1;1;1;0
Row324;talentrover.com;1;1;1;1;1;1;1;0
Row325;talentsquare.com;1;1;1;1;1;1;0;0
Row326;talentvine.co.uk;1;1;1;1;1;1;0;0
Row327;talentwall.io;1;0;0;0;0;0;0;0
Row328;talroo.com;0;0;1;1;0;0;0;0
Row329;talsuite.com;1;1;1;1;1;1;0;0
Row330;talview.com;0;0;0;1;0;0;0;0
Row331;taprecruit.co;0;0;1;0;0;0;0;0
Row332;taqe.com.br;1;1;1;1;1;1;0;0
Row333;teamengine.io;1;1;1;1;1;1;0;0
Row334;teamtailor.com;1;1;1;1;1;1;1;0
Row335;testgorilla.com;0;0;0;1;0;0;0;0
Row336;textio.com;0;0;1;0;0;0;0;0
Row337;theapplicantmanager.com;1;1;1;1;1;1;1;0
Row338;thehiretalent.com;0;0;0;1;0;0;0;0
Row339;thetalentpool.co.in;1;1;1;1;1;1;0;0
Row340;thomasus.com;0;0;0;1;0;0;0;0
Row341;thrivetrm.com;0;1;1;0;0;0;0;0
Row342;tomhrm.com;0;1;1;1;1;1;0;0
Row343;topdoghr.com;1;1;1;1;1;1;1;0
Row344;tracktalents.com;1;1;1;1;1;0;0;0
Row345;traffit.com;1;1;1;1;1;1;0;0
Row346;tribepad.com;1;1;1;1;1;1;1;0
Row347;tsteps.co;1;1;1;1;1;0;0;0
Row348;turbohire.co;1;1;1;1;1;1;1;0
Row349;turborecruit.com.au;1;1;1;1;1;1;0;0
Row350;tydy.co;0;0;0;0;0;0;1;0
Row351;umantis.com;1;1;1;1;1;1;0;0
Row352;universumglobal.com;0;0;1;0;0;0;0;0
Row353;us.youcruit.com;0;1;1;0;0;0;0;0
Row354;vacancyfiller.com;1;1;1;1;1;1;1;0
Row355;vaqancies.com;1;1;1;1;1;1;0;0
Row356;vervoe.com;0;0;0;1;0;0;0;0
Row357;vettd.ai;0;0;0;1;0;0;0;0
Row358;viasto.com;0;0;0;1;0;0;0;0
Row359;vidcruiter.com;0;0;0;1;1;0;0;0
Row360;videobiorecruiter.com;0;0;0;1;0;0;0;0
Row361;videointerview.io;0;0;0;1;0;0;0;0
Row362;vieple.com;0;0;0;1;0;0;0;0
Row363;visibilitysoftware.com;1;1;1;1;1;1;0;0
Row364;visume.online;1;1;1;1;1;1;0;0
Row365;viterbit.com;1;1;1;1;1;1;0;0
Row366;vivahr.com;1;1;1;0;1;0;0;0
Row367;welcomekit.co;1;1;1;1;1;1;0;0
Row368;wepow.com;0;0;0;1;0;0;0;0
Row369;whozwho.com;0;0;0;1;0;0;0;0
Row370;willhire.co;1;1;1;1;1;1;0;0
Row371;wonderlic.com;0;0;0;1;0;0;0;0
Row372;worcket.com;1;1;1;1;1;1;0;0
Row373;workable.com;1;1;1;1;1;1;0;0
Row374;workconex.com;1;1;1;1;1;1;0;0
Row375;workday.com;1;1;1;1;1;1;1;1
Row376;workland.ca;1;1;1;1;1;1;0;0
Row377;worky.mx;1;1;1;1;1;1;0;0
Row378;woventeams.com;0;0;0;1;0;0;0;0
Row379;x0pa.com;1;1;1;1;1;1;0;0
Row380;xobin.com;0;0;0;1;0;0;0;0
Row381;xor.ai;0;0;1;0;1;1;0;0
Row382;xperisoft.co;1;1;1;1;1;1;1;0
Row383;yello.co;1;1;1;1;1;1;0;0
Row384;zappyhire.com;1;1;1;1;1;1;0;0
Row385;zenapply.com;0;0;0;1;0;0;0;0
Row386;zenats.com;1;1;1;1;1;0;0;0
Row387;zenploy.io;1;1;1;1;1;1;0;0
Row388;zeyospace.com;1;1;1;1;1;1;0;0
Row389;zwayam.com;1;1;1;1;1;0;1;0
